	Gene.Symbol
ENSMUSG00000051951	Xkr4
ENSMUSG00000025900	Rp1
ENSMUSG00000025902	Sox17
ENSMUSG00000033845	Mrpl15
ENSMUSG00000025903	Lypla1
ENSMUSG00000033813	Tcea1
ENSMUSG00000002459	Rgs20
ENSMUSG00000033793	Atp6v1h
ENSMUSG00000025905	Oprk1
ENSMUSG00000033774	Npbwr1
ENSMUSG00000025907	Rb1cc1
-	Fam150a
ENSMUSG00000033740	St18
ENSMUSG00000051285	Pcmtd1
ENSMUSG00000025909	Sntg1
ENSMUSG00000061024	Rrs1
ENSMUSG00000025911	Adhfe1
ENSMUSG00000079671	2610203C22Rik
ENSMUSG00000025912	Mybl1
ENSMUSG00000045210	Vcpip1
ENSMUSG00000025915	Sgk3
ENSMUSG00000046101	Mcmdc2
ENSMUSG00000098234	Snhg6
ENSMUSG00000093178	Snord87
ENSMUSG00000099032	Tcf24
ENSMUSG00000025916	Ppp1r42
ENSMUSG00000025917	Cops5
ENSMUSG00000056763	Cspp1
ENSMUSG00000067851	Arfgef1
ENSMUSG00000042501	Cpa6
ENSMUSG00000076948	Mir467e
ENSMUSG00000048960	Prex2
ENSMUSG00000057715	A830018L16Rik
ENSMUSG00000098555	Mir6341
ENSMUSG00000097171	Gm17644
ENSMUSG00000016918	Sulf1
ENSMUSG00000025938	Slco5a1
ENSMUSG00000042414	Prdm14
ENSMUSG00000005886	Ncoa2
ENSMUSG00000025935	Tram1
ENSMUSG00000025937	Lactb2
ENSMUSG00000067813	Xkr9
ENSMUSG00000097711	Gm5523
ENSMUSG00000025932	Eya1
ENSMUSG00000025930	Msc
ENSMUSG00000032769	Trpa1
ENSMUSG00000092083	Kcnb2
ENSMUSG00000025925	Terf1
ENSMUSG00000032719	Sbspon
ENSMUSG00000067795	4930444P10Rik
ENSMUSG00000043716	Rpl7
ENSMUSG00000025921	Rdh10
ENSMUSG00000025920	Stau2
ENSMUSG00000025939	Ube2w
ENSMUSG00000097744	D030040B21Rik
ENSMUSG00000025940	Tmem70
ENSMUSG00000025779	Ly96
ENSMUSG00000042686	Jph1
ENSMUSG00000025777	Gdap1
ENSMUSG00000067780	Pi15
ENSMUSG00000025776	Crispld1
ENSMUSG00000025774	Crisp4
ENSMUSG00000070977	Defb44-ps
ENSMUSG00000073735	Defb18
ENSMUSG00000067773	Defb41
ENSMUSG00000042596	Tfap2d
ENSMUSG00000025927	Tfap2b
ENSMUSG00000043760	Pkhd1
ENSMUSG00000089914	4930486I03Rik
ENSMUSG00000065559	Mir206
ENSMUSG00000065480	Mir133b
ENSMUSG00000025929	Il17a
ENSMUSG00000041872	Il17f
ENSMUSG00000041859	Mcm3
ENSMUSG00000097934	6720483E21Rik
ENSMUSG00000025931	Paqr8
ENSMUSG00000041809	Efhc1
ENSMUSG00000041779	Tram2
ENSMUSG00000025933	Tmem14a
ENSMUSG00000025934	Gsta3
ENSMUSG00000025936	Gm4956
ENSMUSG00000067750	Khdc1a
ENSMUSG00000041722	Khdc1c
ENSMUSG00000085079	Khdc1b
ENSMUSG00000028033	Kcnq5
ENSMUSG00000041670	Rims1
ENSMUSG00000073730	4933415F23Rik
ENSMUSG00000065405	Mir30a
ENSMUSG00000065567	Mir30c-2
ENSMUSG00000026158	Ogfrl1
ENSMUSG00000026156	B3gat2
ENSMUSG00000026155	Smap1
ENSMUSG00000026153	Fam135a
ENSMUSG00000026147	Col9a1
ENSMUSG00000026141	Col19a1
ENSMUSG00000073725	Lmbrd1
ENSMUSG00000104257	Gm20172
ENSMUSG00000073722	4931408C20Rik
ENSMUSG00000048411	Gm597
ENSMUSG00000099257	Mir6342
ENSMUSG00000048874	Phf3
ENSMUSG00000026064	Ptp4a1
ENSMUSG00000086727	4931428L18Rik
ENSMUSG00000050217	Lgsn
ENSMUSG00000026063	Pih1d3
ENSMUSG00000026058	Khdrbs2
ENSMUSG00000102865	Gm9839
ENSMUSG00000091318	Gm5415
ENSMUSG00000026134	Prim2
