x	y	new_x	new_y	pixel_x	pixel_y
11	9	10.961210089592472	8.920000872207865	2878	2303
12	9	12.08076372616716	8.990801523905928	3203	2324
13	9	13.032553823009822	8.984547274602399	3480	2322
14	9	14.011329070091277	8.977074200676954	3764	2320
15	9	14.965728861149913	8.977232254039915	4041	2320
16	9	16.00374458150014	9.017154460692874	4343	2331
17	9	16.953012043028394	8.964061485931664	4619	2316
18	9	17.97155869830831	8.93229949667722	4915	2307
19	9	18.97698847908571	8.919359331016567	5207	2303
20	9	19.98455223936695	8.990106607316648	5500	2323
21	9	20.930009837536225	8.947432717524926	5775	2311
22	9	21.98413560033803	8.90743381612535	6081	2299
23	9	23.090069700895206	8.968134598826332	6403	2317
24	9	24.07156761148157	8.971800918639278	6688	2318
25	9	25.036385451094198	8.937356167876477	6969	2308
6	10	5.908154943996822	9.955375805877274	1409	2604
7	10	6.957330786395336	9.944384619554642	1714	2601
8	10	8.035314315680292	9.964491080154271	2027	2607
9	10	9.025378200331394	9.936455004603726	2315	2598
10	10	9.936260459385519	9.950645605558888	2580	2603
11	10	10.961451574402766	9.915103808994813	2878	2592
12	10	12.078462883768644	9.96652038169314	3202	2607
13	10	13.040862766031845	9.978852689666077	3482	2611
14	10	13.99216367476095	9.96229387930524	3758	2606
15	10	14.982225486581061	9.940084531666608	4046	2599
16	10	16.011529098281777	9.928708835195396	4345	2596
17	10	16.9417327331982	9.917674119421982	4616	2593
18	10	17.96259059503158	9.931317492995873	4913	2597
19	10	18.99187762408438	9.919807062510333	5212	2594
20	10	20.062469956267982	9.89111182670508	5523	2585
21	10	20.97578209144973	9.91824933002161	5788	2593
22	10	21.984973024057847	9.85828958439943	6082	2576
23	10	23.102467303044318	9.960819060056101	6406	2606
24	10	24.06237046038048	9.934791557734531	6685	2598
25	10	25.01513893345026	9.946584929650157	6962	2601
26	10	25.991363561998945	9.9315724512076	7246	2597
27	10	27.01269299288247	9.90532626521662	7543	2589
28	10	27.967926061998945	9.928494297187967	7821	2596
29	10	29.022551377069256	9.910644113120576	8127	2591
31	10	31.068899877997886	9.885856163730816	8722	2584
6	11	5.900575637483158	10.920767819674037	1407	2885
7	11	6.939336022366416	10.922702807402878	1709	2885
8	11	7.947693676916694	10.924077094349018	2002	2885
9	11	9.029055402507037	10.923386841629464	2316	2885
10	11	9.946430804636249	10.95844152291097	2583	2895
11	11	10.97081766122951	10.885734903117921	2880	2874
12	11	12.067285142656944	10.987439392040713	3199	2904
13	11	13.014771005949594	10.97898224160293	3474	2901
14	11	14.005896180067397	10.968645033457534	3762	2898
15	11	14.971985701492178	10.958749338312934	4043	2896
16	11	15.99911284065376	10.914597001817842	4342	2883
17	11	16.968018302977985	10.934030828761328	4623	2888
18	11	17.982419296278593	10.927804044468413	4918	2887
19	11	19.00380883926082	10.939648200743287	5215	2890
20	11	20.054518576591676	10.912342798116596	5521	2882
21	11	20.961149977493772	10.889987315893194	5784	2876
22	11	21.968110543957025	10.88105963282076	6077	2873
23	11	23.10668758693925	10.96172488719858	6408	2896
24	11	24.06571600959778	10.952957848527845	6686	2894
25	11	25.058763734458484	10.928221719912827	6975	2887
26	11	25.996269952951454	10.930291441655996	7248	2887
27	11	27.01453366680128	10.885493418307627	7544	2874
28	11	27.971116148892023	10.906214473295687	7822	2880
29	11	29.035317943134526	10.89093563607096	8131	2876
30	11	30.018932214161325	10.917631626386694	8417	2884
31	11	31.079033948706297	10.873108253144453	8725	2871
32	11	31.99820597709579	10.880059491868254	8992	2873
6	12	5.932080077487138	11.933299119421982	1416	3179
7	12	6.948412431062357	11.951768043539785	1711	3184
8	12	7.949512067902368	11.92742989847478	2002	3177
9	12	9.03778253918122	11.907002149071756	2318	3171
10	12	9.938474242882467	11.918528125789718	2580	3175
11	12	10.945905341980373	11.912116859538722	2873	3173
12	12	12.050689021338291	11.959206397546152	3194	3186
13	12	13.055905300523753	11.972171955386427	3486	3190
14	12	14.005040100868671	11.949490002282156	3762	3184
15	12	14.967282447976658	11.953295719979158	4042	3185
16	12	16.002102899356334	11.911557195171516	4343	3172
17	12	16.976126181394008	11.91284856887807	4626	3173
18	12	17.962507681791994	11.90110183565971	4912	3169
19	12	19.022016586673928	11.933391360401021	5220	3179
20	12	20.04865868338393	11.910416101711712	5519	3172
21	12	20.977282821086238	11.911638035580113	5789	3173
22	12	21.994172247989926	11.881245151194335	6084	3164
23	12	23.082990983065542	11.963787354033284	6401	3188
24	12	24.073051758470157	11.94049702503355	6689	3181
25	12	25.035823713896	11.91204327403859	6968	3173
26	12	25.979936044752993	11.908524643433655	7243	3172
27	12	27.01616291195915	11.882885796922643	7544	3164
28	12	27.991545971126037	11.902486486760797	7827	3170
29	12	29.005278476432483	11.900996121279238	8122	3169
30	12	30.012985262052013	11.905253716131984	8415	3171
31	12	31.079091987974007	11.867188247838007	8725	3160
32	12	32.01630593729743	11.878834448753368	8997	3163
6	13	5.949216689486342	12.924610848328852	1421	3467
7	13	6.955986555498547	12.956557319541377	1713	3476
8	13	7.967095893187588	12.926971802826067	2007	3468
9	13	9.019096486017252	12.919921068214764	2313	3466
10	13	9.94749831259592	12.915154593354059	2583	3464
11	13	10.987816948175649	12.87924279645833	2885	3454
12	13	12.07464991116318	12.96282452403859	3201	3478
13	13	13.044266354516854	12.964730492133576	3483	3479
14	13	14.014385459385519	12.943252853834291	3765	3472
15	13	14.96855412978881	12.923275945171516	4042	3467
16	13	16.014191649687987	12.90321094119168	4346	3461
17	13	16.976886910367213	12.919954233510598	4626	3466
